ENGINE_SIZE,CYLINDERS,FUEL_TYPE,CITY,HWY,COMB,COMB_mpg,CO2_EMISSIONS 
2,4,X,10.9,7.8,9.5,30,219
2,4,X,10,7.6,8.9,32,205
2,4,Z,11.6,8.1,10,28,230
3.7,6,Z,14.8,11.3,13.2,21,304
2.3,4,Z,13.2,10.3,11.9,24,274
3.7,6,Z,13.7,9.7,11.9,24,274
3.5,6,Z,13.1,8.9,11.2,25,258
3.7,6,Z,13.8,9.6,11.9,24,274
3.7,6,Z,13.4,9.5,11.6,24,267
2.4,4,Z,10.6,7.4,9.2,31,212
2.4,4,Z,11.3,8.1,9.9,29,228
3.5,6,Z,12.1,8.3,10.4,27,239
3.7,6,Z,14.3,10.4,12.5,23,288
5.9,12,Z,18,12,15.3,18,352
5.9,12,Z,20.8,13.7,17.6,16,405
5.9,12,Z,20,13.1,16.9,17,389
5.9,12,Z,21.1,14.2,18,16,414
5.9,12,Z,18.6,12.2,15.7,18,361
5.9,12,Z,21.1,14.2,18,16,414
4.7,8,Z,17,11.9,14.7,19,338
4.7,8,Z,18.1,12.2,15.4,18,354
4.7,8,Z,17.3,11.3,14.6,19,336
2,4,Z,10.8,8.2,9.6,29,221
2,4,Z,11.8,8,10.1,28,232
2,4,Z,11,8.9,10,28,230
2,4,D,8.1,6.4,7.4,38,198
2,4,Z,10.2,7.8,9.1,31,209
2,4,Z,11.4,8.3,10,28,230
2,4,Z,11.4,8.3,10,28,230
2,4,Z,10.9,7.8,9.5,30,219
2,4,Z,11.4,8.3,10,28,230
2,4,Z,11.4,8.3,10,28,230
2,4,Z,10.9,7.8,9.5,30,219
3,6,Z,13.5,9.5,11.7,24,269
4.2,8,Z,14.6,10.2,12.6,22,290
3,6,Z,13.5,9.5,11.7,24,269
4.2,8,Z,14,9.3,11.9,24,274
4.2,8,Z,14,9.3,11.9,24,274
2,4,Z,12,9.1,10.7,26,246
3.2,6,Z,13,10.6,11.9,24,274
3,6,Z,15.2,11,13.3,21,306
3,6,D,13.8,9.8,11.7,24,316
4.2,8,Z,21.1,13.3,17.5,16,403
4.2,8,Z,18.1,12,15.3,18,352
5.2,10,Z,18.8,13.4,16.4,17,377
5.2,10,Z,21.1,14.1,17.9,16,412
4.2,8,Z,21.1,13.3,17.5,16,403
4.2,8,Z,18.1,12,15.3,18,352
5.2,10,Z,18.8,13.4,16.4,17,377
5.2,10,Z,21.1,14.1,17.9,16,412
3,6,Z,13.6,9.4,11.7,24,269
3,6,Z,13.7,9.6,11.9,24,274
3,6,Z,14.5,9.6,12.3,23,283
4.2,8,Z,14.4,10.5,12.6,22,290
4.2,8,Z,16.8,11.1,14.2,20,327
